idClass,idCourse,idLocation,classNumber,idInstructor
90592376,228151,1826,7/8ORCH,5726464
90592378,228151,1826,7/8ORCH,5726464
90592394,228154,1826,6ORCH-A,5726464
90592396,228154,1826,6ORCH-A,5726464
90592490,228141,1826,6PE-A,5726467
90592492,228141,1826,6PE-A,5726467
90592493,228141,1826,6PE-B,5726467
90592494,228141,1826,6PE-B,5726467
90592495,228141,1826,6PE-C,5726467
90592496,228141,1826,6PE-C,5726467
90592699,228141,1826,6PE-D,5726467
90592700,228141,1826,6PE-D,5726467
90592686,283440,1826,6ELA-A,5734205
90592688,283440,1826,6ELA-A,5734205
90592689,283440,1826,6ELA-B,5734205
90592690,283440,1826,6ELA-B,5734205
90592691,283440,1826,6ELA-C,5734205
90592692,283440,1826,6ELA-C,5734205
90592693,283440,1826,6ELA-D,5734205
90592694,283440,1826,6ELA-D,5734205
90592713,283467,1826,6ADV-E,5734205
90592714,283467,1826,6ADV-E,5734205
90592388,228146,1826,6BAND-A,5737573
90592390,228146,1826,6BAND-A,5737573
90592642,264095,1826,5LAN&ARTSURV-B-2,5952518
90592643,264095,1826,5LAN&ARTSURV-B-3,5737573
90592581,247647,1826,7SHALL-2,5938018
90592582,247647,1826,7SHALL-2,5938018
90649123,320997,1826,C,5938018
90649124,320997,1826,C,5938018
90649125,320997,1826,D,5938018
90649126,320997,1826,D,5938018
90649127,320997,1826,G,5938018
90649128,320997,1826,G,5938018
90649129,320997,1826,H,5938018
90649130,320997,1826,H,5938018
90749544,320997,1826,E,5938018
90749545,320997,1826,E,5938018
90592583,247647,1826,7SHALL-3,5952025
90592584,247647,1826,7SHALL-3,5952025
90592726,228149,1826,C,5952025
90592728,228149,1826,C,5952025
90592790,228127,1826,B,5952025
90592792,228127,1826,B,5952025
90592798,302916,1826,E,5952025
90598401,228149,1826,A,5952025
90598402,228149,1826,A,5952025
90598405,228127,1826,E,5952025
90598407,228127,1826,F,5952025
90598408,228127,1826,F,5952025
90592548,240822,1826,6VOC&DRAMA-A,5952518
90592550,240822,1826,6VOC&DRAMA-A,5952518
90592638,264095,1826,5LAN&ARTSURV-B-1,5952518
90592430,228134,1826,8ENGL-A,5982559
90592432,228134,1826,8ENGL-A,5982559
90592433,228134,1826,8ENGL-B,5982559
90592434,228134,1826,8ENGL-B,5982559
90592435,228134,1826,8ENGL-G,5982559
90592436,228134,1826,8ENGL-G,5982559
